data,mandante,visitante,gols_mandante_partida,gols_visitante_partida,resultado,gols_mandante_primeiro_tempo,gols_visitante_primeiro_tempo,resultado_primeiro_tempo,chutes_mandante,chutes_visitante,chutes_no_gol_mandante,chutes_no_gol_visitante,escanteios_mandante,escanteios_visitante,faltas_cometidas_mandante,faltas_cometidas_visitante,cartoes_amarelos_mandante,cartoes_amarelos_visitante,cartoes_vermelhos_mandante,cartoes_vermelhos_visitante,escanteios_partida,gols_partida,total_cartões_mandante,total_cartões_visitante,total_cartoes_partida
31/08/2019,Freiburg,FC Koln,1,2,A,1,0,H,14,9,1,3,5,6,6,15,0,2,0,0,11,3,0,2,2
31/08/2019,Leverkusen,Hoffenheim,0,0,D,0,0,D,20,6,2,1,19,0,7,11,2,2,0,0,19,0,2,2,4
31/08/2019,Schalke 04,Hertha,3,0,H,1,0,H,9,9,2,3,5,3,13,9,1,1,0,0,8,3,1,1,2
31/08/2019,Wolfsburg,Paderborn,1,1,D,0,1,A,15,7,5,3,8,3,8,12,0,3,0,0,11,2,0,3,3
31/08/2019,Union Berlin,Dortmund,3,1,H,1,1,D,15,13,7,2,7,4,13,2,0,0,0,0,11,4,0,0,0
01/09/2019,Werder Bremen,Augsburg,3,2,H,2,1,H,15,12,5,6,4,2,9,11,1,4,0,1,6,5,1,5,6
01/09/2019,Ein Frankfurt,Fortuna Dusseldorf,2,1,H,0,1,A,15,14,8,4,4,1,13,15,2,4,0,0,5,3,2,4,6
13/09/2019,Fortuna Dusseldorf,Wolfsburg,1,1,D,1,1,D,12,15,3,6,3,8,7,14,0,2,0,0,11,2,0,2,2
14/09/2019,Augsburg,Ein Frankfurt,2,1,H,2,0,H,9,23,6,3,2,11,8,8,2,1,0,0,13,3,2,1,3
14/09/2019,Dortmund,Leverkusen,4,0,H,1,0,H,11,22,9,12,3,3,9,11,0,3,0,0,6,4,0,3,3
14/09/2019,FC Koln,M'gladbach,0,1,A,0,1,A,14,15,7,4,4,7,22,17,2,2,0,0,11,1,2,2,4
14/09/2019,Mainz,Hertha,2,1,H,1,0,H,14,16,5,8,6,3,16,11,2,2,0,0,9,3,2,2,4
14/09/2019,Union Berlin,Werder Bremen,1,2,A,1,1,D,12,16,5,7,7,4,23,10,3,4,1,1,11,3,4,5,9
14/09/2019,RB Leipzig,Bayern Munich,1,1,D,1,1,D,12,14,6,7,3,6,11,4,4,2,0,0,9,2,4,2,6
15/09/2019,Hoffenheim,Freiburg,0,3,A,0,2,A,22,16,5,8,12,4,10,6,0,2,0,0,16,3,0,2,2
15/09/2019,Paderborn,Schalke 04,1,5,A,1,1,D,9,18,1,11,3,5,17,12,2,1,0,0,8,6,2,1,3
20/09/2019,Schalke 04,Mainz,2,1,H,1,0,H,19,14,6,3,5,5,7,15,1,1,0,0,10,3,1,1,2
21/09/2019,Bayern Munich,FC Koln,4,0,H,1,0,H,24,16,5,2,12,4,15,20,4,0,0,1,16,4,4,1,5
21/09/2019,Freiburg,Augsburg,1,1,D,1,1,D,17,12,5,2,7,4,13,13,1,1,0,0,11,2,1,1,2
21/09/2019,Hertha,Paderborn,2,1,H,1,0,H,6,17,4,8,1,8,13,15,4,4,0,0,9,3,4,4,8
21/09/2019,Leverkusen,Union Berlin,2,0,H,2,0,H,20,4,7,0,8,1,10,10,0,1,0,1,9,2,0,2,2
21/09/2019,Werder Bremen,RB Leipzig,0,3,A,0,2,A,11,14,1,7,4,7,11,13,0,3,0,1,11,3,0,4,4
22/09/2019,M'gladbach,Fortuna Dusseldorf,2,1,H,0,1,A,23,18,11,4,10,4,14,11,2,3,0,0,14,3,2,3,5
22/09/2019,Ein Frankfurt,Dortmund,2,2,D,1,1,D,17,15,3,7,5,8,18,10,2,2,0,0,13,4,2,2,4
23/09/2019,Wolfsburg,Hoffenheim,1,1,D,1,1,D,12,11,4,5,4,6,11,18,2,4,0,0,10,2,2,4,6
27/09/2019,Union Berlin,Ein Frankfurt,1,2,A,0,0,D,12,14,5,6,4,5,11,12,1,1,0,0,9,3,1,1,2
28/09/2019,Augsburg,Leverkusen,0,3,A,0,1,A,8,11,1,5,1,3,16,9,4,0,0,0,4,3,4,0,4
28/09/2019,Hoffenheim,M'gladbach,0,3,A,0,1,A,17,11,4,5,2,5,10,11,2,2,0,0,7,3,2,2,4
28/09/2019,Mainz,Wolfsburg,0,1,A,0,1,A,15,4,5,3,10,1,9,15,2,3,0,0,11,1,2,3,5
28/09/2019,Paderborn,Bayern Munich,2,3,A,0,1,A,10,18,5,6,11,5,7,6,1,1,0,0,16,5,1,1,2
28/09/2019,RB Leipzig,Schalke 04,1,3,A,0,2,A,17,13,6,8,8,4,13,11,1,1,0,0,12,4,1,1,2
28/09/2019,Dortmund,Werder Bremen,2,2,D,2,1,H,19,11,7,5,9,2,8,10,1,0,0,0,11,4,1,0,1
29/09/2019,Fortuna Dusseldorf,Freiburg,1,2,A,1,1,D,17,9,7,3,5,1,9,9,2,2,0,0,6,3,2,2,4
29/09/2019,FC Koln,Hertha,0,4,A,0,1,A,8,10,3,6,8,4,11,13,1,0,1,0,12,4,2,0,2
04/10/2019,Hertha,Fortuna Dusseldorf,3,1,H,2,1,H,16,9,3,3,9,2,17,18,3,3,0,0,11,4,3,3,6
05/10/2019,Bayern Munich,Hoffenheim,1,2,A,0,0,D,20,8,4,5,9,3,8,12,2,0,0,0,12,3,2,0,2
05/10/2019,Freiburg,Dortmund,2,2,D,0,1,A,6,8,1,4,3,11,10,8,0,3,0,0,14,4,0,3,3
05/10/2019,Leverkusen,RB Leipzig,1,1,D,0,0,D,11,11,8,5,4,0,11,12,2,2,0,0,4,2,2,2,4
05/10/2019,Paderborn,Mainz,1,2,A,1,2,A,16,18,7,7,7,10,8,18,1,4,0,0,17,3,1,4,5
05/10/2019,Schalke 04,FC Koln,1,1,D,0,0,D,15,9,3,5,6,4,15,15,4,4,0,0,10,2,4,4,8
06/10/2019,M'gladbach,Augsburg,5,1,H,4,0,H,13,13,9,3,2,7,9,9,1,2,0,0,9,6,1,2,3
06/10/2019,Wolfsburg,Union Berlin,1,0,H,0,0,D,13,14,4,3,5,4,17,15,2,2,0,0,9,1,2,2,4
06/10/2019,Ein Frankfurt,Werder Bremen,2,2,D,0,1,A,24,11,7,5,10,1,12,8,2,1,0,0,11,4,2,1,3
18/10/2019,Ein Frankfurt,Leverkusen,3,0,H,2,0,H,10,19,5,10,4,1,11,12,1,1,0,0,5,3,1,1,2
19/10/2019,Augsburg,Bayern Munich,2,2,D,1,1,D,9,24,7,9,3,7,10,6,3,3,0,0,10,4,3,3,6
19/10/2019,Fortuna Dusseldorf,Mainz,1,0,H,0,0,D,20,7,4,1,8,1,10,17,2,4,0,1,9,1,2,5,7
19/10/2019,RB Leipzig,Wolfsburg,1,1,D,0,0,D,13,14,5,6,3,3,10,9,1,3,0,0,6,2,1,3,4
19/10/2019,Union Berlin,Freiburg,2,0,H,1,0,H,18,12,5,4,3,4,21,13,3,0,0,0,7,2,3,0,3
19/10/2019,Werder Bremen,Hertha,1,1,D,1,0,H,15,11,5,2,7,5,8,11,1,1,0,0,12,2,1,1,2
19/10/2019,Dortmund,M'gladbach,1,0,H,0,0,D,20,13,7,3,10,8,13,15,1,2,0,0,18,1,1,2,3
20/10/2019,FC Koln,Paderborn,3,0,H,1,0,H,16,9,6,1,6,9,6,7,0,0,0,0,15,3,0,0,0
20/10/2019,Hoffenheim,Schalke 04,2,0,H,0,0,D,9,11,3,1,3,8,12,14,2,2,0,0,11,2,2,2,4
25/10/2019,Mainz,FC Koln,3,1,H,1,1,D,18,16,6,8,5,10,20,9,2,2,0,0,15,4,2,2,4
26/10/2019,Bayern Munich,Union Berlin,2,1,H,1,0,H,21,6,10,4,8,2,9,15,0,1,0,0,10,3,0,1,1
26/10/2019,Freiburg,RB Leipzig,2,1,H,1,0,H,14,25,3,6,5,4,10,9,3,1,0,0,9,3,3,1,4
26/10/2019,Hertha,Hoffenheim,2,3,A,0,2,A,13,17,4,8,4,4,17,12,3,3,1,0,8,5,4,3,7
26/10/2019,Paderborn,Fortuna Dusseldorf,2,0,H,1,0,H,14,18,6,4,4,7,21,17,5,4,0,0,11,2,5,4,9
26/10/2019,Schalke 04,Dortmund,0,0,D,0,0,D,13,8,3,3,8,2,8,7,3,2,0,0,10,0,3,2,5
26/10/2019,Leverkusen,Werder Bremen,2,2,D,1,1,D,21,10,4,3,10,1,12,13,2,1,0,0,11,4,2,1,3
27/10/2019,Wolfsburg,Augsburg,0,0,D,0,0,D,14,10,3,5,5,3,12,13,0,0,0,0,8,0,0,0,0
27/10/2019,M'gladbach,Ein Frankfurt,4,2,H,2,0,H,12,15,7,3,5,6,12,11,1,1,0,0,11,6,1,1,2
01/11/2019,Hoffenheim,Paderborn,3,0,H,3,0,H,12,9,7,2,4,4,7,12,0,1,0,0,8,3,0,1,1
02/11/2019,Dortmund,Wolfsburg,3,0,H,0,0,D,17,12,8,3,7,2,12,18,1,3,0,0,9,3,1,3,4
02/11/2019,Ein Frankfurt,Bayern Munich,5,1,H,2,1,H,17,7,11,3,3,0,12,7,1,2,0,1,3,6,1,3,4
02/11/2019,Leverkusen,M'gladbach,1,2,A,1,2,A,23,11,6,6,13,0,13,8,2,1,1,0,13,3,3,1,4
02/11/2019,RB Leipzig,Mainz,8,0,H,5,0,H,19,10,12,2,3,4,10,7,0,1,0,0,7,8,0,1,1
02/11/2019,Werder Bremen,Freiburg,2,2,D,1,1,D,20,13,10,3,5,0,17,9,3,4,0,1,5,4,3,5,8
02/11/2019,Union Berlin,Hertha,1,0,H,0,0,D,16,8,6,3,1,4,14,9,1,1,0,0,5,1,1,1,2
03/11/2019,Fortuna Dusseldorf,FC Koln,2,0,H,1,0,H,9,8,3,1,3,4,10,20,1,3,0,0,7,2,1,3,4
03/11/2019,Augsburg,Schalke 04,2,3,A,1,1,D,12,11,4,3,1,6,12,10,3,5,0,0,7,5,3,5,8
08/11/2019,FC Koln,Hoffenheim,1,2,A,1,0,H,11,15,3,5,5,7,21,14,4,3,0,0,12,3,4,3,7
09/11/2019,Hertha,RB Leipzig,2,4,A,1,2,A,7,10,3,7,0,5,12,12,2,1,0,0,5,6,2,1,3
09/11/2019,Mainz,Union Berlin,2,3,A,0,2,A,18,14,5,4,3,2,15,15,1,4,0,0,5,5,1,4,5
09/11/2019,Paderborn,Augsburg,0,1,A,0,1,A,12,13,4,5,5,7,15,12,1,3,0,0,12,1,1,3,4
09/11/2019,Schalke 04,Fortuna Dusseldorf,3,3,D,1,0,H,12,9,5,5,2,4,9,15,2,4,0,0,6,6,2,4,6
09/11/2019,Bayern Munich,Dortmund,4,0,H,1,0,H,17,2,5,0,2,1,11,12,2,1,0,0,3,4,2,1,3
10/11/2019,M'gladbach,Werder Bremen,3,1,H,2,0,H,17,16,7,7,3,8,17,11,5,4,1,0,11,4,6,4,10
10/11/2019,Wolfsburg,Leverkusen,0,2,A,0,1,A,9,9,1,4,9,0,8,9,2,2,0,0,9,2,2,2,4
10/11/2019,Freiburg,Ein Frankfurt,1,0,H,0,0,D,13,17,7,6,8,10,7,13,1,3,1,2,18,1,2,5,7
22/11/2019,Dortmund,Paderborn,3,3,D,0,3,A,18,10,7,4,10,2,8,7,3,1,0,0,12,6,3,1,4
23/11/2019,Ein Frankfurt,Wolfsburg,0,2,A,0,1,A,17,9,9,6,12,1,13,22,3,5,0,1,13,2,3,6,9
23/11/2019,Fortuna Dusseldorf,Bayern Munich,0,4,A,0,3,A,12,18,1,5,8,6,8,6,1,1,0,0,14,4,1,1,2
23/11/2019,Leverkusen,Freiburg,1,1,D,1,1,D,27,7,9,2,13,3,9,14,0,3,0,0,16,2,0,3,3
23/11/2019,Union Berlin,M'gladbach,2,0,H,1,0,H,11,12,6,2,2,6,12,7,1,1,0,0,8,2,1,1,2
23/11/2019,Werder Bremen,Schalke 04,1,2,A,0,1,A,16,10,5,5,1,3,12,15,3,2,0,0,4,3,3,2,5
23/11/2019,RB Leipzig,FC Koln,4,1,H,3,1,H,20,6,8,1,13,3,9,15,0,3,0,0,16,5,0,3,3
24/11/2019,Augsburg,Hertha,4,0,H,2,0,H,14,5,5,1,3,3,8,18,0,2,0,1,6,4,0,3,3
24/11/2019,Hoffenheim,Mainz,1,5,A,0,1,A,22,11,8,5,14,3,10,13,1,3,0,1,17,6,1,4,5
29/11/2019,Schalke 04,Union Berlin,2,1,H,1,1,D,17,17,8,7,7,4,12,13,1,4,0,0,11,3,1,4,5
30/11/2019,FC Koln,Augsburg,1,1,D,0,1,A,13,11,6,4,4,8,15,17,8,3,1,1,12,2,9,4,13
30/11/2019,Hertha,Dortmund,1,2,A,1,2,A,13,7,3,5,2,2,13,8,3,2,0,1,4,3,3,3,6
30/11/2019,Hoffenheim,Fortuna Dusseldorf,1,1,D,1,0,H,12,11,6,3,2,5,11,16,2,4,0,0,7,2,2,4,6
30/11/2019,Paderborn,RB Leipzig,2,3,A,0,3,A,8,18,4,6,6,6,10,13,3,3,0,0,12,5,3,3,6
30/11/2019,Bayern Munich,Leverkusen,1,2,A,1,2,A,24,11,11,7,8,2,9,16,1,3,0,1,10,3,1,4,5
01/12/2019,M'gladbach,Freiburg,4,2,H,1,1,D,22,13,13,5,2,3,13,15,3,2,0,0,5,6,3,2,5
01/12/2019,Wolfsburg,Werder Bremen,2,3,A,1,2,A,19,10,6,3,9,3,14,14,1,4,0,0,12,5,1,4,5
02/12/2019,Mainz,Ein Frankfurt,2,1,H,0,1,A,18,14,8,4,8,6,13,10,1,2,0,1,14,3,1,3,4
06/12/2019,Ein Frankfurt,Hertha,2,2,D,0,1,A,25,9,6,3,16,1,11,15,3,4,0,0,17,4,3,4,7
07/12/2019,Augsburg,Mainz,2,1,H,1,1,D,18,12,5,3,8,2,13,14,2,2,0,0,10,3,2,2,4
07/12/2019,Dortmund,Fortuna Dusseldorf,5,0,H,1,0,H,23,2,10,0,6,0,8,10,0,3,0,0,6,5,0,3,3
07/12/2019,Freiburg,Wolfsburg,1,0,H,0,0,D,10,10,3,0,2,7,13,20,0,2,0,0,9,1,0,2,2
07/12/2019,M'gladbach,Bayern Munich,2,1,H,0,0,D,7,17,3,5,2,5,12,17,3,5,0,1,7,3,3,6,9
07/12/2019,RB Leipzig,Hoffenheim,3,1,H,1,0,H,25,11,14,1,8,6,14,5,3,1,0,0,14,4,3,1,4
07/12/2019,Leverkusen,Schalke 04,2,1,H,1,0,H,19,5,9,3,9,0,11,11,2,2,0,0,9,3,2,2,4
08/12/2019,Union Berlin,FC Koln,2,0,H,1,0,H,11,14,5,4,3,5,21,19,1,3,0,0,8,2,1,3,4
08/12/2019,Werder Bremen,Paderborn,0,1,A,0,0,D,12,18,3,5,13,6,10,13,1,4,0,0,19,1,1,4,5
13/12/2019,Hoffenheim,Augsburg,2,4,A,1,1,D,19,6,8,4,11,1,10,7,1,0,0,0,12,6,1,0,1
14/12/2019,Bayern Munich,Werder Bremen,6,1,H,2,1,H,29,11,14,2,8,2,13,12,2,2,0,0,10,7,2,2,4
14/12/2019,FC Koln,Leverkusen,2,0,H,0,0,D,13,6,5,2,3,4,12,9,2,3,0,2,7,2,2,5,7
14/12/2019,Hertha,Freiburg,1,0,H,0,0,D,14,15,4,2,4,7,9,5,2,0,0,0,11,1,2,0,2
14/12/2019,Mainz,Dortmund,0,4,A,0,1,A,9,18,0,7,3,5,8,10,1,0,0,0,8,4,1,0,1
14/12/2019,Paderborn,Union Berlin,1,1,D,1,1,D,14,15,3,2,2,3,19,16,2,4,0,0,5,2,2,4,6
14/12/2019,Fortuna Dusseldorf,RB Leipzig,0,3,A,0,1,A,4,21,1,7,3,9,11,7,2,1,0,0,12,3,2,1,3
15/12/2019,Wolfsburg,M'gladbach,2,1,H,1,1,D,17,6,7,5,5,2,20,15,3,3,0,0,7,3,3,3,6
15/12/2019,Schalke 04,Ein Frankfurt,1,0,H,0,0,D,11,17,5,3,7,6,15,12,1,4,1,0,13,1,2,4,6
17/12/2019,Werder Bremen,Mainz,0,5,A,0,4,A,15,19,5,8,8,5,13,13,2,2,0,0,13,5,2,2,4
17/12/2019,Augsburg,Fortuna Dusseldorf,3,0,H,1,0,H,12,6,7,2,4,2,10,15,3,4,0,0,6,3,3,4,7
17/12/2019,Dortmund,RB Leipzig,3,3,D,2,0,H,14,12,6,8,12,3,9,5,0,0,0,0,15,6,0,0,0
17/12/2019,Union Berlin,Hoffenheim,0,2,A,0,0,D,16,7,2,4,6,1,16,13,2,6,0,0,7,2,2,6,8
18/12/2019,Leverkusen,Hertha,0,1,A,0,0,D,17,10,7,5,5,4,12,16,2,3,0,0,9,1,2,3,5
18/12/2019,Ein Frankfurt,FC Koln,2,4,A,2,1,H,17,21,6,9,7,10,12,10,2,4,0,0,17,6,2,4,6
18/12/2019,Freiburg,Bayern Munich,1,3,A,0,1,A,15,22,5,10,6,8,5,8,0,3,0,0,14,4,0,3,3
18/12/2019,M'gladbach,Paderborn,2,0,H,0,0,D,17,12,6,2,8,4,6,14,2,3,0,0,12,2,2,3,5
18/12/2019,Wolfsburg,Schalke 04,1,1,D,0,0,D,29,8,11,2,12,5,13,11,1,1,0,0,17,2,1,1,2
20/12/2019,Hoffenheim,Dortmund,2,1,H,0,1,A,11,12,3,5,0,8,8,12,0,1,0,0,8,3,0,1,1
21/12/2019,Bayern Munich,Wolfsburg,2,0,H,0,0,D,18,10,8,3,12,6,7,7,2,2,0,0,18,2,2,2,4
21/12/2019,FC Koln,Werder Bremen,1,0,H,1,0,H,7,6,1,1,1,7,11,18,1,4,0,0,8,1,1,4,5
21/12/2019,Mainz,Leverkusen,0,1,A,0,0,D,17,14,2,4,6,6,8,8,0,2,0,1,12,1,0,3,3
21/12/2019,RB Leipzig,Augsburg,3,1,H,0,1,A,22,6,7,2,10,4,7,9,1,3,0,0,14,4,1,3,4
21/12/2019,Schalke 04,Freiburg,2,2,D,1,0,H,19,19,6,7,7,5,9,12,1,1,0,0,12,4,1,1,2
21/12/2019,Hertha,M'gladbach,0,0,D,0,0,D,8,11,0,5,1,7,11,11,2,2,0,0,8,0,2,2,4
22/12/2019,Fortuna Dusseldorf,Union Berlin,2,1,H,1,0,H,22,17,8,6,7,5,8,18,2,4,0,0,12,3,2,4,6
22/12/2019,Paderborn,Ein Frankfurt,2,1,H,2,0,H,19,20,5,5,3,8,11,11,3,2,0,0,11,3,3,2,5
17/01/2020,Schalke 04,M'gladbach,2,0,H,0,0,D,13,14,7,5,8,8,13,17,3,4,0,0,16,2,3,4,7
18/01/2020,Augsburg,Dortmund,3,5,A,1,0,H,13,17,5,8,2,6,4,5,0,1,0,0,8,8,0,1,1
18/01/2020,FC Koln,Wolfsburg,3,1,H,2,0,H,12,17,7,8,8,5,11,18,3,3,0,0,13,4,3,3,6
18/01/2020,Fortuna Dusseldorf,Werder Bremen,0,1,A,0,0,D,17,13,2,4,6,4,16,12,4,5,0,1,10,1,4,6,10
18/01/2020,Hoffenheim,Ein Frankfurt,1,2,A,0,1,A,12,13,5,3,8,6,10,13,2,2,0,0,14,3,2,2,4
18/01/2020,Mainz,Freiburg,1,2,A,0,2,A,24,13,8,5,7,5,15,10,4,2,0,0,12,3,4,2,6
18/01/2020,RB Leipzig,Union Berlin,3,1,H,0,1,A,19,15,8,5,4,4,6,18,1,3,0,0,8,4,1,3,4
19/01/2020,Hertha,Bayern Munich,0,4,A,0,0,D,6,20,1,10,0,4,7,14,3,1,0,0,4,4,3,1,4
19/01/2020,Paderborn,Leverkusen,1,4,A,0,3,A,13,12,7,7,6,4,8,12,4,1,0,0,10,5,4,1,5
24/01/2020,Dortmund,FC Koln,5,1,H,2,0,H,14,11,9,5,1,3,6,7,1,1,0,0,4,6,1,1,2
25/01/2020,Ein Frankfurt,RB Leipzig,2,0,H,0,0,D,7,22,5,4,4,6,8,10,1,2,0,0,10,2,1,2,3
25/01/2020,Freiburg,Paderborn,0,2,A,0,0,D,19,15,5,3,6,6,11,7,4,4,0,1,12,2,4,5,9
25/01/2020,M'gladbach,Mainz,3,1,H,1,1,D,15,12,5,9,6,3,7,14,2,3,0,0,9,4,2,3,5
25/01/2020,Union Berlin,Augsburg,2,0,H,0,0,D,12,25,3,7,4,5,18,9,4,1,0,0,9,2,4,1,5
25/01/2020,Wolfsburg,Hertha,1,2,A,0,0,D,20,9,7,4,9,4,8,8,0,1,0,0,13,3,0,1,1
25/01/2020,Bayern Munich,Schalke 04,5,0,H,2,0,H,24,7,14,1,9,2,3,4,0,0,0,0,11,5,0,0,0
26/01/2020,Werder Bremen,Hoffenheim,0,3,A,0,0,D,16,9,3,4,7,4,14,15,2,2,0,0,11,3,2,2,4
26/01/2020,Leverkusen,Fortuna Dusseldorf,3,0,H,1,0,H,25,12,11,3,8,5,11,10,0,3,0,0,13,3,0,3,3
31/01/2020,Hertha,Schalke 04,0,0,D,0,0,D,9,13,0,5,3,7,9,9,1,1,0,0,10,0,1,1,2
01/02/2020,Augsburg,Werder Bremen,2,1,H,0,1,A,14,7,4,1,5,3,8,17,2,5,0,0,8,3,2,5,7
01/02/2020,Dortmund,Union Berlin,5,0,H,2,0,H,13,5,7,0,5,3,7,8,0,1,0,0,8,5,0,1,1
01/02/2020,Fortuna Dusseldorf,Ein Frankfurt,1,1,D,0,0,D,8,6,1,4,4,4,6,12,2,1,0,0,8,2,2,1,3
01/02/2020,Hoffenheim,Leverkusen,2,1,H,1,1,D,14,22,6,11,4,10,8,10,3,3,0,1,14,3,3,4,7
01/02/2020,Mainz,Bayern Munich,1,3,A,1,3,A,8,13,3,5,6,4,12,9,3,1,0,0,10,4,3,1,4
01/02/2020,RB Leipzig,M'gladbach,2,2,D,0,2,A,18,7,8,4,4,4,12,13,1,6,0,1,8,4,1,7,8
02/02/2020,FC Koln,Freiburg,4,0,H,1,0,H,24,9,9,2,10,6,13,9,3,1,0,0,16,4,3,1,4
02/02/2020,Paderborn,Wolfsburg,2,4,A,1,2,A,10,9,7,5,3,7,15,17,3,3,1,0,10,6,4,3,7
07/02/2020,Ein Frankfurt,Augsburg,5,0,H,1,0,H,13,8,9,5,1,4,7,5,1,0,0,0,5,5,1,0,1
08/02/2020,Freiburg,Hoffenheim,1,0,H,1,0,H,12,21,6,6,5,10,10,13,3,3,0,0,15,1,3,3,6
08/02/2020,Hertha,Mainz,1,3,A,0,1,A,13,10,3,3,10,1,13,16,4,1,1,0,11,4,5,1,6
08/02/2020,Schalke 04,Paderborn,1,1,D,0,0,D,15,15,4,4,11,10,6,8,2,3,0,0,21,2,2,3,5
08/02/2020,Werder Bremen,Union Berlin,0,2,A,0,0,D,14,11,3,5,5,5,7,16,4,3,0,0,10,2,4,3,7
08/02/2020,Wolfsburg,Fortuna Dusseldorf,1,1,D,0,1,A,9,10,5,2,3,5,10,14,0,1,1,0,8,2,1,1,2
08/02/2020,Leverkusen,Dortmund,4,3,H,2,2,D,9,12,5,6,3,7,9,10,2,1,0,0,10,7,2,1,3
09/02/2020,Bayern Munich,RB Leipzig,0,0,D,0,0,D,10,8,3,1,11,3,8,12,2,2,0,0,14,0,2,2,4
14/02/2020,Dortmund,Ein Frankfurt,4,0,H,1,0,H,17,1,7,0,5,0,7,3,0,1,0,0,5,4,0,1,1
15/02/2020,Augsburg,Freiburg,1,1,D,1,0,H,10,20,3,5,0,3,19,5,4,1,0,0,3,2,4,1,5
15/02/2020,Hoffenheim,Wolfsburg,2,3,A,1,1,D,14,15,6,6,4,4,7,12,2,2,0,0,8,5,2,2,4
15/02/2020,Paderborn,Hertha,1,2,A,0,1,A,20,17,4,6,5,8,14,12,2,2,0,0,13,3,2,2,4
15/02/2020,RB Leipzig,Werder Bremen,3,0,H,2,0,H,10,8,3,1,8,1,10,12,1,1,0,0,9,3,1,1,2
15/02/2020,Union Berlin,Leverkusen,2,3,A,1,1,D,20,12,7,5,6,4,9,12,2,2,0,0,10,5,2,2,4
15/02/2020,Fortuna Dusseldorf,M'gladbach,1,4,A,1,1,D,9,17,4,6,2,5,10,10,2,2,0,0,7,5,2,2,4
16/02/2020,FC Koln,Bayern Munich,1,4,A,0,3,A,13,26,6,8,1,6,12,10,1,3,0,0,7,5,1,3,4
16/02/2020,Mainz,Schalke 04,0,0,D,0,0,D,15,8,5,3,3,6,7,11,2,2,0,0,9,0,2,2,4
21/02/2020,Bayern Munich,Paderborn,3,2,H,1,1,D,18,5,9,4,11,1,3,9,1,3,0,0,12,5,1,3,4
22/02/2020,Freiburg,Fortuna Dusseldorf,0,2,A,0,1,A,15,9,4,4,7,4,13,10,1,4,0,0,11,2,1,4,5
